date,recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-01,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,1.0
2020-02-10,4.0
2020-02-11,9.0
2020-02-12,9.0
2020-02-13,9.0
2020-02-14,9.0
2020-02-15,12.0
2020-02-16,12.0
2020-02-17,12.0
2020-02-18,13.0
2020-02-19,18.0
2020-02-20,18.0
2020-02-21,22.0
2020-02-22,22.0
2020-02-23,22.0
2020-02-24,22.0
2020-02-25,22.0
2020-02-26,22.0
2020-02-27,22.0
2020-02-28,22.0
2020-02-29,32.0
2020-03-01,32.0
2020-03-02,32.0
2020-03-03,43.0
2020-03-04,43.0
2020-03-05,43.0
2020-03-06,46.0
2020-03-07,76.0
2020-03-08,76.0
2020-03-09,76.0
2020-03-10,101.0
2020-03-11,118.0
2020-03-12,118.0
2020-03-13,118.0
2020-03-14,118.0
2020-03-15,118.0
2020-03-16,144.0
2020-03-17,144.0
2020-03-18,144.0
2020-03-19,150.0
2020-03-20,191.0
2020-03-21,232.0
2020-03-22,235.0
