date,recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,2.0
2020-02-16,2.0
2020-02-17,2.0
2020-02-18,2.0
2020-02-19,2.0
2020-02-20,2.0
2020-02-21,2.0
2020-02-22,2.0
2020-02-23,2.0
2020-02-24,2.0
2020-02-25,2.0
2020-02-26,2.0
2020-02-27,2.0
2020-02-28,2.0
2020-02-29,2.0
2020-03-01,2.0
2020-03-02,2.0
2020-03-03,2.0
2020-03-04,2.0
2020-03-05,2.0
2020-03-06,2.0
2020-03-07,30.0
2020-03-08,30.0
2020-03-09,32.0
2020-03-10,32.0
2020-03-11,183.0
2020-03-12,183.0
2020-03-13,193.0
2020-03-14,517.0
2020-03-15,517.0
2020-03-16,530.0
2020-03-17,1028.0
2020-03-18,1081.0
2020-03-19,1107.0
2020-03-20,1588.0
2020-03-21,2125.0
2020-03-22,2575.0
2020-03-23,2575.0
